0,1,2,3,4,5,6,7,8,9,10,11,12,13
3.704545,3.263158,1.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,4.0,77.15273775216139,32.0,10.0
3.043478,3.166667,3.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,2.0,85.0,38.0,9.0
0.0,2.820175578700078,1.0,2.0,6.0,2.0,1.0,1.0,2.0,0.0,2.0,83.0,43.0,9.0
3.5,3.42,3.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,4.0,77.15273775216139,32.55794871794872,10.0
3.973684,3.75,3.0,8.0,6.0,2.0,2.0,1.0,2.0,0.0,6.0,77.15273775216139,39.0,10.0
2.846073103521127,2.820175578700078,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,4.0,77.15273775216139,20.0,7.0
2.833333,2.28,3.0,4.0,6.0,2.0,1.0,2.0,1.0,1.0,2.0,84.0,48.0,8.0
2.846073103521127,2.820175578700078,1.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,3.0,93.0,30.0,9.0
4.340909,3.86,1.0,4.0,6.0,1.0,1.0,2.0,2.0,2.0,3.0,77.15273775216139,41.0,9.0
2.964286,3.111111,1.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,3.0,86.0,32.55794871794872,9.0
1.525,0.0,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,73.0,16.0,9.0
3.7,2.583333,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,3.0,78.0,27.0,9.0
0.0,2.820175578700078,1.0,2.0,6.0,2.0,2.0,1.0,2.0,0.0,2.0,42.0,9.0,7.0
2.333333,1.972222,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,77.15273775216139,32.55794871794872,4.0
3.434783,3.428571,3.0,4.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,77.15273775216139,37.0,4.0
3.684211,0.136364,1.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,3.0,92.0,29.0,9.0
4.4375,4.32,3.0,4.0,6.0,2.0,2.0,2.0,2.0,0.0,3.0,77.15273775216139,48.0,8.0
0.0,2.820175578700078,3.0,4.0,6.0,1.0,2.0,2.0,2.0,0.0,4.0,77.15273775216139,32.55794871794872,7.0
2.227273,2.590909,1.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,3.0,77.15273775216139,29.0,9.0
3.425,3.175,3.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,3.0,77.15273775216139,32.55794871794872,8.0
2.475,1.416667,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,71.0,31.0,9.0
2.159091,2.865385,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,77.15273775216139,32.55794871794872,10.0
2.82,2.270833,1.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,48.0,32.55794871794872,9.0
3.58,3.346154,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,77.15273775216139,32.55794871794872,8.0
4.285714,3.608696,1.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,98.0,39.0,9.0
0.886364,0.0,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,77.15273775216139,35.0,9.0
3.854167,3.791667,1.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,1.0,77.15273775216139,49.0,8.0
2.96,3.26,1.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,3.0,83.0,47.0,9.0
3.818182,3.078947,1.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,1.0,85.0,35.0,9.0
